bin_center,count
0.498046875,138
1.494140625,858
2.490234375,1006
3.486328125,1246
4.482421875,2926
5.478515625,6216
6.474609375,8187
7.470703125,7013
8.466796875,6053
9.462890625,6982
10.458984375,7359
11.455078125,8046
12.451171875,8678
13.447265625,9659
14.443359375,10602
15.439453125,11017
16.435546875,9314
17.431640625,10133
18.427734375,9607
19.423828125,9680
20.419921875,9264
21.416015625,10150
22.412109375,9997
23.408203125,10799
24.404296875,11289
25.400390625,12264
26.396484375,13639
27.392578125,14289
28.388671875,15067
29.384765625,16721
30.380859375,17841
31.376953125,18805
32.373046875,18348
33.369140625,20066
34.365234375,21363
35.361328125,24001
36.357421875,26844
37.353515625,28304
38.349609375,28602
39.345703125,28338
40.341796875,30739
41.337890625,31501
42.333984375,32463
43.330078125,33747
44.326171875,34817
45.322265625,34087
46.318359375,36226
47.314453125,40998
48.310546875,40988
49.306640625,41568
50.302734375,43872
51.298828125,45223
52.294921875,45747
53.291015625,45304
54.287109375,43158
55.283203125,43949
56.279296875,42865
57.275390625,43663
58.271484375,44521
59.267578125,46979
60.263671875,44687
61.259765625,43866
62.255859375,40917
63.251953125,41164
64.248046875,39427
65.244140625,38384
66.240234375,38134
67.236328125,35170
68.232421875,33088
69.228515625,30937
70.224609375,29197
71.220703125,28356
72.216796875,28231
73.212890625,25653
74.208984375,26752
75.205078125,25159
76.201171875,26410
77.197265625,25445
78.193359375,25828
79.189453125,24306
80.185546875,23231
81.181640625,23400
82.177734375,23140
83.173828125,23710
84.169921875,23815
85.166015625,22927
86.162109375,22680
87.158203125,22732
88.154296875,23069
89.150390625,23130
90.146484375,22866
91.142578125,23050
92.138671875,21477
93.134765625,21206
94.130859375,19752
95.126953125,19768
96.123046875,18913
97.119140625,18179
98.115234375,16548
99.111328125,15891
100.107421875,16053
101.103515625,14955
102.099609375,15559
103.095703125,14369
104.091796875,14438
105.087890625,14930
106.083984375,15294
107.080078125,14219
108.076171875,14365
109.072265625,13465
110.068359375,13308
111.064453125,13139
112.060546875,12665
113.056640625,13121
114.052734375,11867
115.048828125,11594
116.044921875,11453
117.041015625,10582
118.037109375,10734
119.033203125,10362
120.029296875,10712
121.025390625,10275
122.021484375,10521
123.017578125,10201
124.013671875,10351
125.009765625,9880
126.005859375,10162
127.001953125,1445756
127.998046875,10747
128.994140625,11307
129.990234375,11439
130.986328125,11771
131.982421875,11528
132.978515625,11872
133.974609375,10942
134.970703125,11769
135.966796875,11232
136.962890625,11168
137.958984375,11238
138.955078125,11545
139.951171875,11504
140.947265625,11039
141.943359375,11311
142.939453125,11980
143.935546875,11125
144.931640625,11634
145.927734375,11022
146.923828125,11325
147.919921875,11584
148.916015625,11143
149.912109375,11456
150.908203125,11548
151.904296875,12780
152.900390625,12846
153.896484375,10768
154.892578125,11376
155.888671875,11289
156.884765625,12046
157.880859375,11648
158.876953125,9519
159.873046875,9125
160.869140625,9129
161.865234375,9349
162.861328125,9575
163.857421875,9414
164.853515625,9252
165.849609375,9793
166.845703125,10398
167.841796875,10583
168.837890625,9378
169.833984375,9612
170.830078125,8713
171.826171875,7982
172.822265625,8780
173.818359375,9769
174.814453125,8673
175.810546875,7972
176.806640625,8489
177.802734375,7699
178.798828125,7474
179.794921875,7072
180.791015625,7063
181.787109375,7782
182.783203125,7846
183.779296875,8035
184.775390625,7525
185.771484375,6234
186.767578125,5957
187.763671875,5061
188.759765625,3944
189.755859375,3689
190.751953125,3296
191.748046875,3049
192.744140625,2485
193.740234375,2907
194.736328125,2407
195.732421875,2272
196.728515625,1385
197.724609375,1233
198.720703125,1140
199.716796875,996
200.712890625,984
201.708984375,803
202.705078125,809
203.701171875,805
204.697265625,645
205.693359375,780
206.689453125,541
207.685546875,493
208.681640625,443
209.677734375,367
210.673828125,272
211.669921875,359
212.666015625,231
213.662109375,186
214.658203125,213
215.654296875,268
216.650390625,260
217.646484375,292
218.642578125,241
219.638671875,183
220.634765625,154
221.630859375,211
222.626953125,147
223.623046875,155
224.619140625,168
225.615234375,91
226.611328125,169
227.607421875,89
228.603515625,155
229.599609375,117
230.595703125,174
231.591796875,148
232.587890625,147
233.583984375,132
234.580078125,152
235.576171875,128
236.572265625,85
237.568359375,132
238.564453125,96
239.560546875,112
240.556640625,103
241.552734375,54
242.548828125,97
243.544921875,86
244.541015625,60
245.537109375,65
246.533203125,111
247.529296875,66
248.525390625,120
249.521484375,134
250.517578125,697
251.513671875,184
252.509765625,1307
253.505859375,1925
254.501953125,3324
