bin_center,count
0.498046875,0
1.494140625,1
2.490234375,26
3.486328125,46
4.482421875,127
5.478515625,1111
6.474609375,3831
7.470703125,5408
8.466796875,3686
9.462890625,3556
10.458984375,3848
11.455078125,3466
12.451171875,4096
13.447265625,4296
14.443359375,5647
15.439453125,6475
16.435546875,6455
17.431640625,6733
18.427734375,7335
19.423828125,8663
20.419921875,8336
21.416015625,8210
22.412109375,7498
23.408203125,7711
24.404296875,8305
25.400390625,9226
26.396484375,10518
27.392578125,10151
28.388671875,12066
29.384765625,13760
30.380859375,16058
31.376953125,16555
32.373046875,18280
33.369140625,20432
34.365234375,20762
35.361328125,22336
36.357421875,24755
37.353515625,29460
38.349609375,30958
39.345703125,32765
40.341796875,33666
41.337890625,35465
42.333984375,35447
43.330078125,35865
44.326171875,35958
45.322265625,39043
46.318359375,40307
47.314453125,43958
48.310546875,45237
49.306640625,45510
50.302734375,46365
51.298828125,46853
52.294921875,48054
53.291015625,45392
54.287109375,47106
55.283203125,49654
56.279296875,48849
57.275390625,47761
58.271484375,48026
59.267578125,46342
60.263671875,46019
61.259765625,45974
62.255859375,43140
63.251953125,40772
64.248046875,37315
65.244140625,33974
66.240234375,31329
67.236328125,27347
68.232421875,26553
69.228515625,24567
70.224609375,23645
71.220703125,23268
72.216796875,24236
73.212890625,25079
74.208984375,25926
75.205078125,25734
76.201171875,25195
77.197265625,25947
78.193359375,25934
79.189453125,25397
80.185546875,23988
81.181640625,25048
82.177734375,24917
83.173828125,26210
84.169921875,26602
85.166015625,27142
86.162109375,26630
87.158203125,27302
88.154296875,26117
89.150390625,25956
90.146484375,25477
91.142578125,23611
92.138671875,22685
93.134765625,22831
94.130859375,21817
95.126953125,20608
96.123046875,21141
97.119140625,20729
98.115234375,18569
99.111328125,19237
100.107421875,18237
101.103515625,16689
102.099609375,16297
103.095703125,15505
104.091796875,14510
105.087890625,13893
106.083984375,13689
107.080078125,13586
108.076171875,13345
109.072265625,14624
110.068359375,13169
111.064453125,12968
112.060546875,13125
113.056640625,13001
114.052734375,12525
115.048828125,12591
116.044921875,12041
117.041015625,12510
118.037109375,12146
119.033203125,12759
120.029296875,12245
121.025390625,12077
122.021484375,11816
123.017578125,12091
124.013671875,12874
125.009765625,11763
126.005859375,11832
127.001953125,1446750
127.998046875,11473
128.994140625,11586
129.990234375,11817
130.986328125,11374
131.982421875,10767
132.978515625,10428
133.974609375,10218
134.970703125,10205
135.966796875,10368
136.962890625,10140
137.958984375,9351
138.955078125,9160
139.951171875,9733
140.947265625,9951
141.943359375,10202
142.939453125,9439
143.935546875,10253
144.931640625,9489
145.927734375,10283
146.923828125,10674
147.919921875,10398
148.916015625,12185
149.912109375,11511
150.908203125,12206
151.904296875,12125
152.900390625,13446
153.896484375,13660
154.892578125,13405
155.888671875,13156
156.884765625,12530
157.880859375,11789
158.876953125,9937
159.873046875,9697
160.869140625,9517
161.865234375,9447
162.861328125,10003
163.857421875,9811
164.853515625,9556
165.849609375,9758
166.845703125,10728
167.841796875,9881
168.837890625,9298
169.833984375,9011
170.830078125,9121
171.826171875,8251
172.822265625,8000
173.818359375,8004
174.814453125,7681
175.810546875,8693
176.806640625,7847
177.802734375,8553
178.798828125,8535
179.794921875,8529
180.791015625,8513
181.787109375,9585
182.783203125,9245
183.779296875,9713
184.775390625,8857
185.771484375,8819
186.767578125,6628
187.763671875,5447
188.759765625,4936
189.755859375,4285
190.751953125,3161
191.748046875,3258
192.744140625,2878
193.740234375,2197
194.736328125,1772
195.732421875,1537
196.728515625,1119
197.724609375,1300
198.720703125,1256
199.716796875,977
200.712890625,1074
201.708984375,995
202.705078125,913
203.701171875,640
204.697265625,495
205.693359375,435
206.689453125,380
207.685546875,195
208.681640625,335
209.677734375,270
210.673828125,211
211.669921875,345
212.666015625,355
213.662109375,205
214.658203125,213
215.654296875,171
216.650390625,149
217.646484375,112
218.642578125,135
219.638671875,126
220.634765625,113
221.630859375,66
222.626953125,68
223.623046875,131
224.619140625,117
225.615234375,37
226.611328125,79
227.607421875,90
228.603515625,51
229.599609375,94
230.595703125,71
231.591796875,63
232.587890625,52
233.583984375,63
234.580078125,58
235.576171875,49
236.572265625,90
237.568359375,17
238.564453125,79
239.560546875,43
240.556640625,45
241.552734375,73
242.548828125,89
243.544921875,94
244.541015625,93
245.537109375,41
246.533203125,44
247.529296875,90
248.525390625,63
249.521484375,147
250.517578125,135
251.513671875,154
252.509765625,126
253.505859375,248
254.501953125,6637
