bin_center,count
0.498046875,127
1.494140625,131
2.490234375,97
3.486328125,1658
4.482421875,4259
5.478515625,3139
6.474609375,2170
7.470703125,2134
8.466796875,2537
9.462890625,3342
10.458984375,3903
11.455078125,4274
12.451171875,5015
13.447265625,4370
14.443359375,4916
15.439453125,4806
16.435546875,5423
17.431640625,5347
18.427734375,5630
19.423828125,5640
20.419921875,5777
21.416015625,6012
22.412109375,6191
23.408203125,6394
24.404296875,7802
25.400390625,8746
26.396484375,9381
27.392578125,11832
28.388671875,13185
29.384765625,13653
30.380859375,17122
31.376953125,18216
32.373046875,19349
33.369140625,20277
34.365234375,21661
35.361328125,21394
36.357421875,23371
37.353515625,24379
38.349609375,27115
39.345703125,30113
40.341796875,31471
41.337890625,34605
42.333984375,34288
43.330078125,36107
44.326171875,37715
45.322265625,40401
46.318359375,43669
47.314453125,45550
48.310546875,45757
49.306640625,44716
50.302734375,45148
51.298828125,42301
52.294921875,44737
53.291015625,44989
54.287109375,47105
55.283203125,48047
56.279296875,50758
57.275390625,49920
58.271484375,49066
59.267578125,47935
60.263671875,44237
61.259765625,42338
62.255859375,38387
63.251953125,37602
64.248046875,33959
65.244140625,30823
66.240234375,30474
67.236328125,27984
68.232421875,27809
69.228515625,26286
70.224609375,25644
71.220703125,24146
72.216796875,23242
73.212890625,22544
74.208984375,22361
75.205078125,22989
76.201171875,22488
77.197265625,23804
78.193359375,23724
79.189453125,25169
80.185546875,25560
81.181640625,25644
82.177734375,25047
83.173828125,23787
84.169921875,24666
85.166015625,24854
86.162109375,25060
87.158203125,24616
88.154296875,23968
89.150390625,22479
90.146484375,21776
91.142578125,21040
92.138671875,20079
93.134765625,19764
94.130859375,18731
95.126953125,18765
96.123046875,18647
97.119140625,18189
98.115234375,18112
99.111328125,17296
100.107421875,17135
101.103515625,16963
102.099609375,15854
103.095703125,17409
104.091796875,17208
105.087890625,18543
106.083984375,18581
107.080078125,18894
108.076171875,18218
109.072265625,18482
110.068359375,17923
111.064453125,18696
112.060546875,17571
113.056640625,17074
114.052734375,17795
115.048828125,18662
116.044921875,17353
117.041015625,17245
118.037109375,15857
119.033203125,16516
120.029296875,15248
121.025390625,14750
122.021484375,14683
123.017578125,13048
124.013671875,14045
125.009765625,12242
126.005859375,11688
127.001953125,1446051
127.998046875,9982
128.994140625,9990
129.990234375,9665
130.986328125,9777
131.982421875,10082
132.978515625,10031
133.974609375,9953
134.970703125,10421
135.966796875,11374
136.962890625,11074
137.958984375,11752
138.955078125,11415
139.951171875,11416
140.947265625,11229
141.943359375,11339
142.939453125,10058
143.935546875,10351
144.931640625,11065
145.927734375,11295
146.923828125,13705
147.919921875,13783
148.916015625,13653
149.912109375,12294
150.908203125,11132
151.904296875,10315
152.900390625,9143
153.896484375,8828
154.892578125,8751
155.888671875,8103
156.884765625,8091
157.880859375,8986
158.876953125,8612
159.873046875,9723
160.869140625,10958
161.865234375,10538
162.861328125,11412
163.857421875,11574
164.853515625,11840
165.849609375,11172
166.845703125,11818
167.841796875,11867
168.837890625,10362
169.833984375,9653
170.830078125,9421
171.826171875,8478
172.822265625,9215
173.818359375,8594
174.814453125,8335
175.810546875,8635
176.806640625,8870
177.802734375,9060
178.798828125,9550
179.794921875,9671
180.791015625,10168
181.787109375,9192
182.783203125,9291
183.779296875,7830
184.775390625,7092
185.771484375,6966
186.767578125,7300
187.763671875,6991
188.759765625,6106
189.755859375,5020
190.751953125,4857
191.748046875,3681
192.744140625,3172
193.740234375,3037
194.736328125,1936
195.732421875,1779
196.728515625,1404
197.724609375,1284
198.720703125,1263
199.716796875,1097
200.712890625,1187
201.708984375,729
202.705078125,659
203.701171875,450
204.697265625,424
205.693359375,332
206.689453125,211
207.685546875,267
208.681640625,206
209.677734375,206
210.673828125,170
211.669921875,147
212.666015625,112
213.662109375,136
214.658203125,144
215.654296875,96
216.650390625,126
217.646484375,63
218.642578125,161
219.638671875,152
220.634765625,97
221.630859375,53
222.626953125,73
223.623046875,95
224.619140625,60
225.615234375,66
226.611328125,63
227.607421875,51
228.603515625,106
229.599609375,70
230.595703125,65
231.591796875,64
232.587890625,56
233.583984375,82
234.580078125,72
235.576171875,69
236.572265625,81
237.568359375,50
238.564453125,56
239.560546875,62
240.556640625,109
241.552734375,51
242.548828125,78
243.544921875,93
244.541015625,91
245.537109375,101
246.533203125,145
247.529296875,120
248.525390625,150
249.521484375,250
250.517578125,212
251.513671875,1981
252.509765625,3134
253.505859375,496
254.501953125,1105
