bin_center,count
0.498046875,0
1.494140625,15
2.490234375,18
3.486328125,101
4.482421875,876
5.478515625,3473
6.474609375,5159
7.470703125,3660
8.466796875,3283
9.462890625,3576
10.458984375,3563
11.455078125,3764
12.451171875,4263
13.447265625,4604
14.443359375,5811
15.439453125,5379
16.435546875,6227
17.431640625,6388
18.427734375,7049
19.423828125,7420
20.419921875,7621
21.416015625,7332
22.412109375,7807
23.408203125,8698
24.404296875,8841
25.400390625,9150
26.396484375,10023
27.392578125,11196
28.388671875,13638
29.384765625,16360
30.380859375,17210
31.376953125,18876
32.373046875,19818
33.369140625,19757
34.365234375,20906
35.361328125,23976
36.357421875,26982
37.353515625,28523
38.349609375,29724
39.345703125,32534
40.341796875,33592
41.337890625,34915
42.333984375,35252
43.330078125,34995
44.326171875,36911
45.322265625,38933
46.318359375,42012
47.314453125,44549
48.310546875,44739
49.306640625,45443
50.302734375,46086
51.298828125,46754
52.294921875,44600
53.291015625,44594
54.287109375,44722
55.283203125,47797
56.279296875,47151
57.275390625,47494
58.271484375,49375
59.267578125,49243
60.263671875,47744
61.259765625,44493
62.255859375,42287
63.251953125,38320
64.248046875,36084
65.244140625,33629
66.240234375,29272
67.236328125,26477
68.232421875,25614
69.228515625,23643
70.224609375,23258
71.220703125,22491
72.216796875,22820
73.212890625,23302
74.208984375,25036
75.205078125,24644
76.201171875,25908
77.197265625,25436
78.193359375,26744
79.189453125,25816
80.185546875,25827
81.181640625,24728
82.177734375,24713
83.173828125,25831
84.169921875,26236
85.166015625,27199
86.162109375,26440
87.158203125,26819
88.154296875,25336
89.150390625,25750
90.146484375,24547
91.142578125,23878
92.138671875,23052
93.134765625,23587
94.130859375,21517
95.126953125,20632
96.123046875,21603
97.119140625,20398
98.115234375,19720
99.111328125,20230
100.107421875,18713
101.103515625,17946
102.099609375,17956
103.095703125,17176
104.091796875,15129
105.087890625,14231
106.083984375,13948
107.080078125,14654
108.076171875,13796
109.072265625,13337
110.068359375,13834
111.064453125,13459
112.060546875,12342
113.056640625,12691
114.052734375,13305
115.048828125,13040
116.044921875,12763
117.041015625,12127
118.037109375,12758
119.033203125,13007
120.029296875,12578
121.025390625,11868
122.021484375,12050
123.017578125,12509
124.013671875,12437
125.009765625,12267
126.005859375,12119
127.001953125,1447377
127.998046875,11834
128.994140625,11295
129.990234375,11455
130.986328125,11252
131.982421875,10066
132.978515625,9469
133.974609375,9992
134.970703125,9893
135.966796875,9996
136.962890625,9817
137.958984375,8994
138.955078125,8814
139.951171875,10369
140.947265625,10005
141.943359375,10427
142.939453125,9735
143.935546875,9931
144.931640625,9442
145.927734375,10365
146.923828125,11267
147.919921875,11103
148.916015625,11767
149.912109375,11802
150.908203125,12690
151.904296875,12858
152.900390625,13716
153.896484375,12918
154.892578125,13387
155.888671875,12553
156.884765625,11093
157.880859375,10262
158.876953125,9719
159.873046875,9741
160.869140625,9034
161.865234375,10272
162.861328125,9500
163.857421875,9921
164.853515625,9729
165.849609375,9824
166.845703125,10409
167.841796875,10594
168.837890625,9347
169.833984375,8643
170.830078125,9234
171.826171875,8791
172.822265625,8289
173.818359375,7736
174.814453125,7682
175.810546875,8993
176.806640625,8435
177.802734375,8477
178.798828125,8885
179.794921875,8753
180.791015625,8628
181.787109375,8917
182.783203125,9117
183.779296875,9495
184.775390625,8981
185.771484375,8562
186.767578125,6894
187.763671875,5580
188.759765625,4901
189.755859375,4726
190.751953125,3451
191.748046875,3145
192.744140625,2487
193.740234375,2495
194.736328125,1855
195.732421875,1562
196.728515625,1310
197.724609375,1225
198.720703125,1174
199.716796875,921
200.712890625,1046
201.708984375,846
202.705078125,1000
203.701171875,648
204.697265625,552
205.693359375,436
206.689453125,272
207.685546875,339
208.681640625,257
209.677734375,252
210.673828125,313
211.669921875,369
212.666015625,215
213.662109375,189
214.658203125,221
215.654296875,136
216.650390625,188
217.646484375,126
218.642578125,159
219.638671875,110
220.634765625,88
221.630859375,53
222.626953125,94
223.623046875,210
224.619140625,81
225.615234375,49
226.611328125,80
227.607421875,83
228.603515625,35
229.599609375,64
230.595703125,97
231.591796875,38
232.587890625,77
233.583984375,60
234.580078125,50
235.576171875,54
236.572265625,71
237.568359375,90
238.564453125,52
239.560546875,33
240.556640625,80
241.552734375,64
242.548828125,54
243.544921875,147
244.541015625,66
245.537109375,81
246.533203125,61
247.529296875,115
248.525390625,117
249.521484375,151
250.517578125,132
251.513671875,141
252.509765625,214
253.505859375,452
254.501953125,6114
