filename,R_min,R_max,R_mean,R_std,G_min,G_max,G_mean,G_std,B_min,B_max,B_mean,B_std,A_min,A_max,A_mean,A_std,Y_min,Y_max,Y_mean,Y_std,vertex_count
mesh_233723.ply,5.0,254.0,108.18074035644531,39.92129898071289,3.0,255.0,105.32706451416016,43.92946243286133,0.0,255.0,103.95167541503906,46.4373664855957,255.0,255.0,255.0,0.0,3.2808001041412354,254.7152099609375,105.8344497680664,43.182952880859375,22430
mesh_233725.ply,2.0,253.0,99.36917877197266,40.585723876953125,1.0,255.0,95.6836166381836,44.199317932128906,0.0,255.0,93.77839660644531,46.824073791503906,255.0,255.0,255.0,0.0,1.1403999328613281,254.57479858398438,96.3296127319336,43.51438903808594,26746
mesh_233728.ply,2.0,254.0,96.78338623046875,40.065895080566406,2.0,255.0,92.84149169921875,43.06061553955078,0.0,255.0,90.54145812988281,45.653343200683594,255.0,255.0,255.0,0.0,1.8555999994277954,254.57479858398438,93.51346588134766,42.487606048583984,29753
mesh_233731.ply,2.0,255.0,100.29118347167969,44.50776672363281,2.0,255.0,96.4655532836914,47.32283401489258,0.0,255.0,94.19834899902344,49.64879608154297,255.0,255.0,255.0,0.0,1.8555999994277954,255.0,97.11518096923828,46.776371002197266,31077
mesh_233733.ply,2.0,255.0,102.07211303710938,51.053836822509766,2.0,255.0,97.85348510742188,53.69025421142578,0.0,255.0,95.30592346191406,55.841617584228516,255.0,255.0,255.0,0.0,1.8555999994277954,254.85560607910156,98.56643676757812,53.16441345214844,30952
mesh_233734.ply,2.0,255.0,99.20152282714844,48.752315521240234,2.0,255.0,94.5915298461914,51.15262985229492,0.0,255.0,91.78429412841797,53.39040756225586,255.0,255.0,255.0,0.0,1.8555999994277954,254.85560607910156,95.36892700195312,50.663475036621094,30389
mesh_233736.ply,2.0,255.0,95.76153564453125,40.25464630126953,2.0,255.0,90.97718048095703,42.33298873901367,0.0,255.0,88.03068542480469,44.796627044677734,255.0,255.0,255.0,0.0,1.8555999994277954,254.85560607910156,91.78160095214844,41.89191436767578,34932
mesh_233739.ply,2.0,255.0,98.78449249267578,37.75269317626953,2.0,255.0,94.70402526855469,39.87450408935547,0.0,255.0,91.98461151123047,42.35694122314453,255.0,255.0,255.0,0.0,1.8555999994277954,254.85560607910156,95.37519073486328,39.448638916015625,43673
mesh_233742.ply,2.0,255.0,98.29044342041016,38.354736328125,2.0,255.0,94.53596496582031,40.38221740722656,0.0,255.0,92.0068130493164,42.9638671875,255.0,255.0,255.0,0.0,1.8555999994277954,255.0,95.15155792236328,39.994266510009766,46240
mesh_233744.ply,2.0,255.0,97.094970703125,39.0864372253418,2.0,255.0,93.7794418334961,40.82258224487305,0.0,255.0,91.39498901367188,43.195648193359375,255.0,255.0,255.0,0.0,1.8555999994277954,255.0,94.31217956542969,40.48862075805664,48700
