#timestamp x y z qx qy qz qw id
1757693776.657427 -0.000000 -0.000000 -0.000000 0.501203 -0.499938 0.500060 -0.498796 1
1757693781.831693 -0.097303 -0.088663 0.194018 0.507182 -0.495079 0.513020 -0.484226 6
1757693782.873309 0.018165 -0.046354 0.419711 0.517577 -0.494466 0.509932 -0.477060 7
1757693783.914903 -0.183061 -0.443405 0.946518 -0.512885 0.536294 -0.497933 0.448777 8
1757693784.956501 -0.037668 -0.609189 1.023276 0.471273 -0.539950 0.542336 -0.438437 9
1757693785.964424 0.332278 -0.670675 1.162866 -0.453056 0.560644 -0.556373 0.413362 10
1757693786.972700 0.710933 -0.755077 0.949522 -0.454617 0.562220 -0.517288 0.457870 11
1757693788.047939 1.332710 -0.991697 0.869725 0.511026 -0.505211 0.483564 -0.499781 12
1757693789.055764 2.082031 -1.109780 0.848398 -0.534751 0.485366 -0.451292 0.524211 13
1757693790.061698 2.877074 -1.109678 0.800205 -0.527787 0.512865 -0.437606 0.516635 14
1757693791.129093 3.822720 -1.016350 0.751705 -0.538157 0.495960 -0.412659 0.542330 15
1757693792.163167 4.697126 -0.866402 0.721875 -0.573860 0.501444 -0.397705 0.510949 16
1757693793.230594 5.598239 -0.733095 0.590096 -0.557561 0.493429 -0.405511 0.530296 17
1757693794.264639 6.525445 -0.580359 0.460663 -0.566899 0.503804 -0.394097 0.519129 18
1757693795.332054 7.499314 -0.392662 0.311486 -0.550755 0.501014 -0.399511 0.534832 19
1757693796.332742 8.342831 -0.247383 0.186001 -0.570857 0.498244 -0.393405 0.520680 20
1757693797.333459 9.123816 -0.088483 0.049686 -0.608364 0.466100 -0.377140 0.520010 21
1757693798.400991 9.825166 0.195322 -0.052895 -0.669401 0.389076 -0.343172 0.531747 22
1757693799.468506 10.295983 0.795866 -0.128548 -0.690399 0.326199 -0.237794 0.600331 23
1757693800.502608 10.918793 1.351829 -0.230988 -0.656852 0.406778 -0.312678 0.552549 24
1757693801.503329 11.764286 1.718376 -0.390449 0.615591 -0.465035 0.397539 -0.496743 25
1757693802.570811 12.696375 1.935517 -0.469512 0.568328 -0.488336 0.460879 -0.475522 26
1757693803.605104 13.575891 2.046253 -0.573781 -0.501551 0.542203 -0.535954 0.408921 27
1757693804.639199 14.481677 2.011905 -0.675954 -0.443698 0.599703 -0.580658 0.326075 28
1757693805.706675 15.408274 1.777046 -0.817289 -0.450702 0.611184 -0.579540 0.295728 29
1757693806.707427 16.188618 1.417923 -0.869254 -0.469422 0.586374 -0.575119 0.324109 30
1757693807.808248 17.010042 1.025496 -0.942087 0.534099 -0.516110 0.520981 -0.420652 31
1757693808.809032 17.878723 0.804234 -1.022212 0.574659 -0.480910 0.474814 -0.461568 32
1757693809.843186 18.904179 0.795681 -1.174432 0.589035 -0.464298 0.443087 -0.491059 33
1757693810.877288 19.983259 0.929040 -1.292652 -0.583191 0.473325 -0.430935 0.500147 34
1757693811.878004 21.044250 1.086940 -1.418753 -0.568088 0.465936 -0.441030 0.515434 35
1757693812.945478 22.042753 1.214594 -1.538866 0.587427 -0.473797 0.431813 -0.493947 36
1757693814.012971 23.114090 1.337532 -1.655874 -0.576880 0.466501 -0.445864 0.500791 37
1757693815.080535 24.195820 1.441568 -1.796666 0.572171 -0.477271 0.448122 -0.493983 38
1757693816.114667 25.186163 1.527421 -1.901054 0.563715 -0.487133 0.464803 -0.478420 39
1757693817.148824 26.137203 1.596850 -2.035698 0.575659 -0.478614 0.443757 -0.492570 40
1757693818.182965 27.206892 1.705993 -2.143511 -0.571965 0.475045 -0.443727 0.500295 41
1757693819.250462 28.261532 1.831082 -2.299280 0.565337 -0.486791 0.458467 -0.482946 42
1757693820.317845 29.326115 2.020918 -2.425307 0.553461 -0.506626 0.462920 -0.471928 43
1757693821.318569 30.251736 2.251896 -2.576211 -0.602483 0.436670 -0.414159 0.524218 44
1757693822.352751 31.128819 2.698445 -2.701971 -0.691914 0.297831 -0.272324 0.598658 45
1757693823.386809 31.860018 3.369504 -2.824638 -0.708203 0.166529 -0.130873 0.673490 46
1757693824.387620 32.344528 4.179022 -2.915954 -0.710486 0.100947 -0.028754 0.695840 47
1757693825.421761 32.598484 5.105058 -3.008455 -0.698276 0.003590 0.071883 0.712202 48
1757693826.455914 32.568794 6.092115 -3.025301 -0.692398 -0.042898 0.121757 0.709873 49
1757693827.490020 32.343067 7.033113 -3.057536 -0.669750 -0.122154 0.197335 0.705388 50
1757693828.558156 31.954687 7.857349 -3.073486 -0.632604 -0.214476 0.295340 0.683071 51
1757693829.627516 31.408442 8.454347 -3.021184 -0.562519 -0.332391 0.415357 0.632904 52
1757693830.628039 30.693945 8.824822 -2.962030 -0.483712 -0.424704 0.511809 0.568947 53
1757693831.661875 29.751001 8.985129 -2.813281 -0.429378 -0.467705 0.566893 0.524899 54
1757693832.729344 28.670301 8.998633 -2.688467 -0.414414 -0.471286 0.578752 0.520765 55
1757693833.730329 27.690088 8.914846 -2.529923 -0.405274 -0.475551 0.588043 0.513625 56
1757693834.730742 26.737719 8.828895 -2.435758 -0.400613 -0.486919 0.586878 0.507930 57
1757693835.731190 25.747240 8.650598 -2.286179 -0.396579 -0.482927 0.600200 0.499265 58
1757693836.765024 24.718309 8.445161 -2.129274 -0.411434 -0.469399 0.598363 0.502343 59
1757693837.832122 23.582546 8.244177 -1.975999 -0.416464 -0.471037 0.591117 0.505236 60
1757693838.865856 22.535807 8.134331 -1.821159 -0.398194 -0.496226 0.581421 0.507101 61
1757693839.899572 21.460449 8.061262 -1.641695 -0.407176 -0.500011 0.582829 0.494477 62
1757693840.933361 20.393944 7.941452 -1.509523 -0.414871 -0.500209 0.572600 0.499801 63
1757693841.967128 19.262728 7.816177 -1.346657 -0.426494 -0.493504 0.562913 0.507628 64
1757693843.034240 18.069031 7.666526 -1.161636 -0.420621 -0.480555 0.572141 0.514586 65
1757693844.101347 16.924112 7.613272 -0.966409 -0.423823 -0.479977 0.600421 0.479053 66
